# Copyright (C) 1991-2014 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 14.1.0 Build 186 12/03/2014 SJ Web Edition
# File: C:\Users\Paul\Desktop\M68k.csv
# Generated on: Sat Oct 03 16:45:25 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Fitter Location,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
altera_reserved_tck,Input,,,,,,,PIN_AC5,,,,,,,,,,,
altera_reserved_tdi,Input,,,,,,,PIN_U8,,,,,,,,,,,
altera_reserved_tdo,Output,,,,,,,PIN_AB9,,,,,,,,,,,
altera_reserved_tms,Input,,,,,,,PIN_V9,,,,,,,,,,,
CLOCK_50,Input,PIN_AF14,3B,B3B_N0,3.3-V LVTTL,,,PIN_AF14,,,,,,,,,,,
DRAM_ADDR[12],Output,PIN_AJ14,3B,B3B_N0,3.3-V LVTTL,,,PIN_AJ14,,,,,,,,,,,
DRAM_ADDR[11],Output,PIN_AH13,3B,B3B_N0,3.3-V LVTTL,,,PIN_AH13,,,,,,,,,,,
DRAM_ADDR[10],Output,PIN_AG12,3B,B3B_N0,3.3-V LVTTL,,,PIN_AG12,,,,,,,,,,,
DRAM_ADDR[9],Output,PIN_AG13,3B,B3B_N0,3.3-V LVTTL,,,PIN_AG13,,,,,,,,,,,
DRAM_ADDR[8],Output,PIN_AH15,3B,B3B_N0,3.3-V LVTTL,,,PIN_AH15,,,,,,,,,,,
DRAM_ADDR[7],Output,PIN_AF15,3B,B3B_N0,3.3-V LVTTL,,,PIN_AF15,,,,,,,,,,,
DRAM_ADDR[6],Output,PIN_AD14,3B,B3B_N0,3.3-V LVTTL,,,PIN_AD14,,,,,,,,,,,
DRAM_ADDR[5],Output,PIN_AC14,3B,B3B_N0,3.3-V LVTTL,,,PIN_AC14,,,,,,,,,,,
DRAM_ADDR[4],Output,PIN_AB15,3B,B3B_N0,3.3-V LVTTL,,,PIN_AB15,,,,,,,,,,,
DRAM_ADDR[3],Output,PIN_AE14,3B,B3B_N0,3.3-V LVTTL,,,PIN_AE14,,,,,,,,,,,
DRAM_ADDR[2],Output,PIN_AG15,3B,B3B_N0,3.3-V LVTTL,,,PIN_AG15,,,,,,,,,,,
DRAM_ADDR[1],Output,PIN_AH14,3B,B3B_N0,3.3-V LVTTL,,,PIN_AH14,,,,,,,,,,,
DRAM_ADDR[0],Output,PIN_AK14,3B,B3B_N0,3.3-V LVTTL,,,PIN_AK14,,,,,,,,,,,
DRAM_BA[1],Output,PIN_AJ12,3B,B3B_N0,3.3-V LVTTL,,,PIN_AJ12,,,,,,,,,,,
DRAM_BA[0],Output,PIN_AF13,3B,B3B_N0,3.3-V LVTTL,,,PIN_AF13,,,,,,,,,,,
DRAM_CAS_N,Output,PIN_AF11,3B,B3B_N0,3.3-V LVTTL,,,PIN_AF11,,,,,,,,,,,
DRAM_CKE,Output,PIN_AK13,3B,B3B_N0,3.3-V LVTTL,,,PIN_AK13,,,,,,,,,,,
DRAM_CLK,Output,PIN_AH12,3B,B3B_N0,3.3-V LVTTL,,,PIN_AH12,,,,,,,,,,,
DRAM_CS_N,Output,PIN_AG11,3B,B3B_N0,3.3-V LVTTL,,,PIN_AG11,,,,,,,,,,,
DRAM_DQ[15],Bidir,PIN_AJ5,3B,B3B_N0,3.3-V LVTTL,,,PIN_AJ5,,,,,,,,,,,
DRAM_DQ[14],Bidir,PIN_AJ6,3B,B3B_N0,3.3-V LVTTL,,,PIN_AJ6,,,,,,,,,,,
DRAM_DQ[13],Bidir,PIN_AH7,3B,B3B_N0,3.3-V LVTTL,,,PIN_AH7,,,,,,,,,,,
DRAM_DQ[12],Bidir,PIN_AH8,3B,B3B_N0,3.3-V LVTTL,,,PIN_AH8,,,,,,,,,,,
DRAM_DQ[11],Bidir,PIN_AH9,3B,B3B_N0,3.3-V LVTTL,,,PIN_AH9,,,,,,,,,,,
DRAM_DQ[10],Bidir,PIN_AJ9,3B,B3B_N0,3.3-V LVTTL,,,PIN_AJ9,,,,,,,,,,,
DRAM_DQ[9],Bidir,PIN_AJ10,3B,B3B_N0,3.3-V LVTTL,,,PIN_AJ10,,,,,,,,,,,
DRAM_DQ[8],Bidir,PIN_AH10,3B,B3B_N0,3.3-V LVTTL,,,PIN_AH10,,,,,,,,,,,
DRAM_DQ[7],Bidir,PIN_AJ11,3B,B3B_N0,3.3-V LVTTL,,,PIN_AJ11,,,,,,,,,,,
DRAM_DQ[6],Bidir,PIN_AK11,3B,B3B_N0,3.3-V LVTTL,,,PIN_AK11,,,,,,,,,,,
DRAM_DQ[5],Bidir,PIN_AG10,3B,B3B_N0,3.3-V LVTTL,,,PIN_AG10,,,,,,,,,,,
DRAM_DQ[4],Bidir,PIN_AK9,3B,B3B_N0,3.3-V LVTTL,,,PIN_AK9,,,,,,,,,,,
DRAM_DQ[3],Bidir,PIN_AK8,3B,B3B_N0,3.3-V LVTTL,,,PIN_AK8,,,,,,,,,,,
DRAM_DQ[2],Bidir,PIN_AK7,3B,B3B_N0,3.3-V LVTTL,,,PIN_AK7,,,,,,,,,,,
DRAM_DQ[1],Bidir,PIN_AJ7,3B,B3B_N0,3.3-V LVTTL,,,PIN_AJ7,,,,,,,,,,,
DRAM_DQ[0],Bidir,PIN_AK6,3B,B3B_N0,3.3-V LVTTL,,,PIN_AK6,,,,,,,,,,,
DRAM_LDQM,Output,PIN_AB13,3B,B3B_N0,3.3-V LVTTL,,,PIN_AB13,,,,,,,,,,,
DRAM_RAS_N,Output,PIN_AE13,3B,B3B_N0,3.3-V LVTTL,,,PIN_AE13,,,,,,,,,,,
DRAM_UDQM,Output,PIN_AK12,3B,B3B_N0,3.3-V LVTTL,,,PIN_AK12,,,,,,,,,,,
DRAM_WE_N,Output,PIN_AA13,3B,B3B_N0,3.3-V LVTTL,,,PIN_AA13,,,,,,,,,,,
GPIO_0[35],Bidir,PIN_AJ21,4A,B4A_N0,3.3-V LVTTL,,,PIN_AJ21,,,,,,,,,,,
GPIO_0[34],Bidir,PIN_AG18,4A,B4A_N0,3.3-V LVTTL,,,PIN_AG18,,,,,,,,,,,
GPIO_0[33],Bidir,PIN_AG20,4A,B4A_N0,3.3-V LVTTL,,,PIN_AG20,,,,,,,,,,,
GPIO_0[32],Bidir,PIN_AF18,4A,B4A_N0,3.3-V LVTTL,,,PIN_AF18,,,,,,,,,,,
GPIO_0[31],Bidir,PIN_AG21,4A,B4A_N0,3.3-V LVTTL,,,PIN_AG21,,,,,,,,,,,
GPIO_0[30],Bidir,PIN_AF19,4A,B4A_N0,3.3-V LVTTL,,,PIN_AF19,,,,,,,,,,,
GPIO_0[29],Bidir,PIN_AF21,4A,B4A_N0,3.3-V LVTTL,,,PIN_AF21,,,,,,,,,,,
GPIO_0[28],Bidir,PIN_AF20,4A,B4A_N0,3.3-V LVTTL,,,PIN_AF20,,,,,,,,,,,
GPIO_0[27],Bidir,PIN_AE19,4A,B4A_N0,3.3-V LVTTL,,,PIN_AE19,,,,,,,,,,,
GPIO_0[26],Bidir,PIN_AE18,4A,B4A_N0,3.3-V LVTTL,,,PIN_AE18,,,,,,,,,,,
GPIO_0[25],Bidir,PIN_AD20,4A,B4A_N0,3.3-V LVTTL,,,PIN_AD20,,,,,,,,,,,
GPIO_0[24],Bidir,PIN_AD19,4A,B4A_N0,3.3-V LVTTL,,,PIN_AD19,,,,,,,,,,,
GPIO_0[23],Bidir,PIN_AK21,4A,B4A_N0,3.3-V LVTTL,,,PIN_AK21,,,,,,,,,,,
GPIO_0[22],Bidir,PIN_AH20,4A,B4A_N0,3.3-V LVTTL,,,PIN_AH20,,,,,,,,,,,
GPIO_0[21],Bidir,PIN_AJ20,4A,B4A_N0,3.3-V LVTTL,,,PIN_AJ20,,,,,,,,,,,
GPIO_0[20],Bidir,PIN_AH19,4A,B4A_N0,3.3-V LVTTL,,,PIN_AH19,,,,,,,,,,,
GPIO_0[19],Bidir,PIN_AC20,4A,B4A_N0,3.3-V LVTTL,,,PIN_AC20,,,,,,,,,,,
GPIO_0[18],Bidir,PIN_AE17,4A,B4A_N0,3.3-V LVTTL,,,PIN_AE17,,,,,,,,,,,
GPIO_0[17],Bidir,PIN_AA19,4A,B4A_N0,3.3-V LVTTL,,,PIN_AA19,,,,,,,,,,,
GPIO_0[16],Bidir,PIN_AA18,4A,B4A_N0,3.3-V LVTTL,,,PIN_AA18,,,,,,,,,,,
GPIO_0[15],Bidir,PIN_AG17,4A,B4A_N0,3.3-V LVTTL,,,PIN_AG17,,,,,,,,,,,
GPIO_0[14],Bidir,PIN_AF16,4A,B4A_N0,3.3-V LVTTL,,,PIN_AF16,,,,,,,,,,,
GPIO_0[13],Bidir,PIN_AE16,4A,B4A_N0,3.3-V LVTTL,,,PIN_AE16,,,,,,,,,,,
GPIO_0[12],Bidir,PIN_AG16,4A,B4A_N0,3.3-V LVTTL,,,PIN_AG16,,,,,,,,,,,
GPIO_0[11],Bidir,PIN_AH17,4A,B4A_N0,3.3-V LVTTL,,,PIN_AH17,,,,,,,,,,,
GPIO_0[10],Bidir,PIN_AH18,4A,B4A_N0,3.3-V LVTTL,,,PIN_AH18,,,,,,,,,,,
GPIO_0[9],Bidir,PIN_AJ16,4A,B4A_N0,3.3-V LVTTL,,,PIN_AJ16,,,,,,,,,,,
GPIO_0[8],Bidir,PIN_AJ17,4A,B4A_N0,3.3-V LVTTL,,,PIN_AJ17,,,,,,,,,,,
GPIO_0[7],Bidir,PIN_AJ19,4A,B4A_N0,3.3-V LVTTL,,,PIN_AJ19,,,,,,,,,,,
GPIO_0[6],Bidir,PIN_AK19,4A,B4A_N0,3.3-V LVTTL,,,PIN_AK19,,,,,,,,,,,
GPIO_0[5],Bidir,PIN_AK18,4A,B4A_N0,3.3-V LVTTL,,,PIN_AK18,,,,,,,,,,,
GPIO_0[4],Bidir,PIN_AK16,4A,B4A_N0,3.3-V LVTTL,,,PIN_AK16,,,,,,,,,,,
GPIO_0[3],Bidir,PIN_Y18,4A,B4A_N0,3.3-V LVTTL,,,PIN_Y18,,,,,,,,,,,
GPIO_0[2],Bidir,PIN_AD17,4A,B4A_N0,3.3-V LVTTL,,,PIN_AD17,,,,,,,,,,,
